Question,Source No.,Source Title,Source Synopsis,Retrieved No.,Retrieved Title,Retrieved Synopsis
Which of the following approaches is most likely to be effective in minimizing disturbance to cave-dwelling bats during guided tours?,1002,Impose restrictions on cave visits,Bat Conservation,1995,Minimize noise levels within caves,Bat Conservation
Which of the following approaches is most likely to be effective in minimizing disturbance to cave-dwelling bats during guided tours?,1002,Impose restrictions on cave visits,Bat Conservation,999,Install and maintain cave gates to restrict public access,Bat Conservation
How does the frequency of prescribed burning affect bat species richness in unlogged forest blocks?,1006,Use prescribed burning,Bat Conservation,318,Use prescribed burning on pine forests,Bird Conservation
How does the frequency of prescribed burning affect bat species richness in unlogged forest blocks?,1006,Use prescribed burning,Bat Conservation,317,Use prescribed burning on deciduous forests,Bird Conservation
"In a conservation effort to protect long-tailed bats, which of the following actions would most likely lead to increased survival probabilities for female bats?",1007,Control invasive predators,Bat Conservation,2054,Rehabilitate injured/orphaned bats to maintain wild bat populations,Bat Conservation
"In a conservation effort to protect long-tailed bats, which of the following actions would most likely lead to increased survival probabilities for female bats?",1007,Control invasive predators,Bat Conservation,2053,Breed bats in captivity,Bat Conservation
"In the context of bat conservation, which of the following best describes the current understanding of the effectiveness of controlling invasive plant species?",1008,Control invasive plant species,Bat Conservation,1228,Mechanically/manually remove invasive plants,Forest Conservation
"In the context of bat conservation, which of the following best describes the current understanding of the effectiveness of controlling invasive plant species?",1008,Control invasive plant species,Bat Conservation,2045,Legally protect bat habitats,Bat Conservation
What potential trade-off might conservation managers face when modifying bat hibernacula to combat white-nose syndrome?,1013,Modify bat hibernacula environments to increase survival of bats infected with white-nose syndrome,Bat Conservation,2008,Treat bats for infection with white-nose syndrome,Bat Conservation
What potential trade-off might conservation managers face when modifying bat hibernacula to combat white-nose syndrome?,1013,Modify bat hibernacula environments to increase survival of bats infected with white-nose syndrome,Bat Conservation,42,Ensure commercial hives/nests are disease free,Bee Conservation
Which of the following outcomes is most likely to occur if streetlights are turned off for part of the night in urban areas?,1019,Restrict timing of lighting,Bat Conservation,467,Turn off lights to reduce mortality from artificial lights,Bird Conservation
Which of the following outcomes is most likely to occur if streetlights are turned off for part of the night in urban areas?,1019,Restrict timing of lighting,Bat Conservation,284,Turn deck lights off during night-time setting of longlines to reduce bycatch,Bird Conservation
"In the context of bird conservation, what is the most likely long-term outcome of enforcing legislation to protect birds against persecution?",101,Enforce legislation to protect birds against persecution,Farmland Conservation,271,Use legislative regulation to protect wild populations,Bird Conservation
"In the context of bird conservation, what is the most likely long-term outcome of enforcing legislation to protect birds against persecution?",101,Enforce legislation to protect birds against persecution,Farmland Conservation,272,Increase ‘on-the-ground’ protection to reduce unsustainable levels of exploitation,Bird Conservation
Which of the following outcomes is most likely to be observed when using ultraviolet filters on lights in bat habitats?,1020,Use ultraviolet filters on lights,Bat Conservation,2021,Use red lighting rather than other lighting colours,Bat Conservation
Which of the following outcomes is most likely to be observed when using ultraviolet filters on lights in bat habitats?,1020,Use ultraviolet filters on lights,Bat Conservation,2018,"Avoid illumination of bat foraging, drinking and swarming sites",Bat Conservation
"In the context of aquaculture pollution management, which of the following best describes the primary objective of establishing fallowing?",1027,Establish fallowing to reduce pollution,Sustainable Aquaculture,2191,Leave a fallow period during fish/shellfish farming,Subtidal Benthic Invertebrate Conservation
